Time,PlatformId,"Location (Lat, Long, Alt)","Orientation (Heading, Pitch, Roll)",Speed (m/s),FuelReserve,FuelBingo,FuelQuantity,FuelInitial,Name,Side,Domain
10,7,"[-27.722229,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7703.686453,7711.070366,blue1,blue,2
10,8,"[-27.549675,152.68101,304.79999]","[1.3089505,0.0,0.0]",61.73333359,0,2267.961872,7703.686453,7711.070366,blue2,blue,2
11,1,"[-27.363281,153.07235,304.79999]","[-2.5112249,0.0,0.0]",61.73333359,0,4082.33137,11506.9986,11521.24631,red1,red,2
11,2,"[-27.194967,153.07312,304.79999]","[-3.028921,0.0,0.0]",61.73333359,0,4082.33137,11507.02022,11521.24631,red2,red,2
11,3,"[-27.468884,152.92046,304.79999]","[-3.0862807,0.0,0.0]",61.73333359,0,4082.33137,11507.02022,11521.24631,red3,red,2
11,4,"[-27.48197,152.73917,304.79999]","[2.0449327,0.0,0.0]",61.73333359,0,4082.33137,11506.97697,11521.24631,red4,red,2
11,5,"[-27.435519,152.78559,304.79999]","[2.0334629,0.0,0.0]",61.73333359,0,4082.33137,11506.97697,11521.24631,red5,red,2
11,6,"[-27.511752,153.11749,304.79999]","[-1.8133839,0.0,0.0]",61.73333359,0,4082.33137,11506.97697,11521.24631,red6,red,2
11,7,"[-27.721671,152.89167,304.79999]","[-5.5511363e-17,0.0,0.0]",61.73333359,0,2267.961872,7702.944352,7711.070366,blue1,blue,2
11,8,"[-27.54953,152.68162,304.79999]","[1.3089457,0.0,0.0]",61.73333359,0,2267.961872,7702.944352,7711.070366,blue2,blue,2
12,1,"[-27.363732,153.07198,304.79999]","[-2.511222,0.0,0.0]",61.73333359,0,4082.33137,11505.70138,11521.24631,red1,red,2
12,2,"[-27.195521,153.07305,304.79999]","[-3.0289205,0.0,0.0]",61.73333359,0,4082.33137,11505.723,11521.24631,red2,red,2
12,3,"[-27.469441,152.92042,304.79999]","[-3.0862804,0.0,0.0]",61.73333359,0,4082.33137,11505.723,11521.24631,red3,red,2
12,4,"[-27.482225,152.73973,304.79999]","[2.0449283,0.0,0.0]",61.73333359,0,4082.33137,11505.67976,11521.24631,red4,red,2
12,5,"[-27.435768,152.78615,304.79999]","[2.0334584,0.0,0.0]",61.73333359,0,4082.33137,11505.67976,11521.24631,red5,red,2
12,6,"[-27.511886,153.11688,304.79999]","[-1.813379,0.0,0.0]",61.73333359,0,4082.33137,11505.67976,11521.24631,red6,red,2
12,7,"[-27.721114,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7702.20225,7711.070366,blue1,blue,2
12,8,"[-27.549386,152.68222,304.79999]","[1.3089408,0.0,0.0]",61.73333359,0,2267.961872,7702.20225,7711.070366,blue2,blue,2
13,1,"[-27.364183,153.07161,304.79999]","[-2.5112191,0.0,0.0]",61.73333359,0,4082.33137,11504.40417,11521.24631,red1,red,2
13,2,"[-27.196075,153.07298,304.79999]","[-3.0289199,0.0,0.0]",61.73333359,0,4082.33137,11504.42579,11521.24631,red2,red,2
13,3,"[-27.469998,152.92039,304.79999]","[-3.0862802,0.0,0.0]",61.73333359,0,4082.33137,11504.42579,11521.24631,red3,red,2
13,4,"[-27.48248,152.74029,304.79999]","[2.0449238,0.0,0.0]",61.73333359,0,4082.33137,11504.38255,11521.24631,red4,red,2
13,5,"[-27.436017,152.78671,304.79999]","[2.033454,0.0,0.0]",61.73333359,0,4082.33137,11504.38255,11521.24631,red5,red,2
13,6,"[-27.51202,153.11627,304.79999]","[-1.8133742,0.0,0.0]",61.73333359,0,4082.33137,11504.38255,11521.24631,red6,red,2
13,7,"[-27.720556,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7701.460148,7711.070366,blue1,blue,2
13,8,"[-27.549242,152.68283,304.79999]","[1.308936,0.0,0.0]",61.73333359,0,2267.961872,7701.460148,7711.070366,blue2,blue,2
14,1,"[-27.364633,153.07124,304.79999]","[-2.5112161,0.0,0.0]",61.73333359,0,4082.33137,11503.10696,11521.24631,red1,red,2
14,2,"[-27.196629,153.07291,304.79999]","[-3.0289194,0.0,0.0]",61.73333359,0,4082.33137,11503.12858,11521.24631,red2,red,2
14,3,"[-27.470555,152.92035,304.79999]","[-3.0862799,0.0,0.0]",61.73333359,0,4082.33137,11503.12858,11521.24631,red3,red,2
14,4,"[-27.482734,152.74084,304.79999]","[2.0449193,0.0,0.0]",61.73333359,0,4082.33137,11503.08534,11521.24631,red4,red,2
14,5,"[-27.436266,152.78727,304.79999]","[2.0334495,0.0,0.0]",61.73333359,0,4082.33137,11503.08534,11521.24631,red5,red,2
14,6,"[-27.512154,153.11567,304.79999]","[-1.8133693,0.0,0.0]",61.73333359,0,4082.33137,11503.08534,11521.24631,red6,red,2
14,7,"[-27.719999,152.89167,304.79999]","[0.0,0.0,0.0]",61.73333359,0,2267.961872,7700.718046,7711.070366,blue1,blue,2
14,8,"[-27.549097,152.68343,304.79999]","[1.3089311,0.0,0.0]",61.73333359,0,2267.961872,7700.718046,7711.070366,blue2,blue,2
15,1,"[-27.365084,153.07087,304.79999]","[-2.5112132,0.0,0.0]",61.73333359,0,4082.33137,11501.80975,11521.24631,red1,red,2
15,2,"[-27.197183,153.07284,304.79999]","[-3.0289188,0.0,0.0]",61.73333359,0,4082.33137,11501.83137,11521.24631,red2,red,2
15,3,"[-27.471112,152.92032,304.79999]","[-3.0862796,0.0,0.0]",61.73333359,0,4082.33137,11501.83137,11521.24631,red3,red,2
15,4,"[-27.482989,152.7414,304.79999]","[2.0449149,0.0,0.0]",61.73333359,0,4082.33137,11501.78812,11521.24631,red4,red,2
15,5,"[-27.436515,152.78783,304.79999]","[2.033445,0.0,0.0]",61.73333359,0,4082.33137,11501.78812,11521.24631,red5,red,2
15,6,"[-27.512288,153.11506,304.79999]","[-1.8133644,0.0,0.0]",61.73333359,0,4082.33137,11501.78812,11521.24631,red6,red,2
15,7,"[-27.719441,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7699.975944,7711.070366,blue1,blue,2
15,8,"[-27.548953,152.68404,304.79999]","[1.3089263,0.0,0.0]",61.73333359,0,2267.961872,7699.975944,7711.070366,blue2,blue,2
16,1,"[-27.365534,153.0705,304.79999]","[-2.5112103,0.0,0.0]",61.73333359,0,4082.33137,11500.51253,11521.24631,red1,red,2
16,2,"[-27.197737,153.07277,304.79999]","[-3.0289182,0.0,0.0]",61.73333359,0,4082.33137,11500.53415,11521.24631,red2,red,2
16,3,"[-27.471668,152.92028,304.79999]","[-3.0862793,0.0,0.0]",61.73333359,0,4082.33137,11500.53415,11521.24631,red3,red,2
16,4,"[-27.483243,152.74195,304.79999]","[2.0449104,0.0,0.0]",61.73333359,0,4082.33137,11500.49091,11521.24631,red4,red,2
16,5,"[-27.436764,152.78839,304.79999]","[2.0334405,0.0,0.0]",61.73333359,0,4082.33137,11500.49091,11521.24631,red5,red,2
16,6,"[-27.512422,153.11445,304.79999]","[-1.8133596,0.0,0.0]",61.73333359,0,4082.33137,11500.49091,11521.24631,red6,red,2
16,7,"[-27.718883,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7699.233843,7711.070366,blue1,blue,2
16,8,"[-27.548809,152.68464,304.79999]","[1.3089214,0.0,0.0]",61.73333359,0,2267.961872,7699.233843,7711.070366,blue2,blue,2
17,1,"[-27.365985,153.07014,304.79999]","[-2.5112073,0.0,0.0]",61.73333359,0,4082.33137,11499.21532,11521.24631,red1,red,2
17,2,"[-27.198292,153.0727,304.79999]","[-3.0289177,0.0,0.0]",61.73333359,0,4082.33137,11499.23694,11521.24631,red2,red,2
17,3,"[-27.472225,152.92025,304.79999]","[-3.086279,0.0,0.0]",61.73333359,0,4082.33137,11499.23694,11521.24631,red3,red,2
17,4,"[-27.483498,152.74251,304.79999]","[2.044906,0.0,0.0]",61.73333359,0,4082.33137,11499.1937,11521.24631,red4,red,2
17,5,"[-27.437013,152.78895,304.79999]","[2.0334361,0.0,0.0]",61.73333359,0,4082.33137,11499.1937,11521.24631,red5,red,2
17,6,"[-27.512556,153.11385,304.79999]","[-1.8133547,0.0,0.0]",61.73333359,0,4082.33137,11499.1937,11521.24631,red6,red,2
17,7,"[-27.718326,152.89167,304.79999]","[-5.5511363e-17,0.0,0.0]",61.73333359,0,2267.961872,7698.491741,7711.070366,blue1,blue,2
17,8,"[-27.548661,152.68526,304.79999]","[1.3089164,0.0,0.0]",61.73333359,0,2267.961872,7698.473021,7711.070366,blue2,blue,2
18,1,"[-27.366435,153.06977,304.79999]","[-2.5112044,0.0,0.0]",61.73333359,0,4082.33137,11497.91811,11521.24631,red1,red,2
18,2,"[-27.198846,153.07263,304.79999]","[-3.0289171,0.0,0.0]",61.73333359,0,4082.33137,11497.93973,11521.24631,red2,red,2
